unique_id,level_of_study,gp,number_of_F,number_of_E,number_of_D,number_of_C,number_of_B,number_of_A,average_grade,grade_variation,delta_gp,cumulative_std_gp,previous_gp,next_gp
67674,100.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5
67674,200.0,2.5,0.0,1.0,1.0,4.0,0.0,0.0,2.5,0.8366600265340756,-0.5,0.3535533905932738,3.0,3.2
67674,300.0,3.2,1.0,0.0,0.0,0.0,2.0,0.0,2.6666666666666665,2.3094010767585034,0.7000000000000002,0.36055512754639907,2.5,2.714285714285714
67674,400.0,2.714285714285714,0.0,1.0,0.0,0.0,1.0,0.0,2.5,2.1213203435596424,-0.4857142857142862,0.30868935136518494,3.2,1.4444444444444444
67674,500.0,1.4444444444444444,0.0,4.0,0.0,0.0,0.0,1.0,1.8,1.7888543819998317,-1.2698412698412695,0.6845397053594889,2.714285714285714,1.4444444444444444
67836,100.0,1.75,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.7320508075688772,0.0,0.0,0.0,4.0
67836,200.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.25,1.590990257669732,1.75,1.75
67836,300.0,1.75,0.0,1.0,0.0,0.0,1.0,0.0,2.5,2.1213203435596424,-2.25,1.299038105676658,4.0,2.0
67836,400.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.4142135623730951,0.25,1.0897247358851685,1.75,2.6
67836,500.0,2.6,0.0,3.0,1.0,4.0,2.0,0.0,2.5,1.1785113019775793,0.6000000000000001,0.9490785004413492,2.0,2.6
67996,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.7333333333333334
67996,200.0,3.7333333333333334,1.0,0.0,0.0,3.0,2.0,3.0,3.5555555555555554,1.5898986690282426,2.7333333333333334,1.93275853524323,1.0,2.5555555555555554
67996,300.0,2.5555555555555554,0.0,1.0,0.0,2.0,1.0,0.0,2.75,1.2583057392117916,-1.177777777777778,1.3710108613329817,3.7333333333333334,1.0
67996,400.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5555555555555554,1.3281845030243629,2.5555555555555554,2.5
67996,500.0,2.5,0.0,1.0,0.0,0.0,1.0,0.0,2.5,2.1213203435596424,1.5,1.1660421608962748,1.0,2.5
68350,100.0,3.5454545454545454,0.0,0.0,0.0,3.0,1.0,1.0,3.6,0.8944271909999159,0.0,0.0,0.0,2.2
68350,200.0,2.2,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,-1.3454545454545452,0.951380032869173,3.5454545454545454,3.142857142857143
68350,300.0,3.142857142857143,0.0,1.0,0.0,2.0,1.0,0.0,2.75,1.2583057392117916,0.9428571428571426,0.6905688710885646,2.2,3.0
68350,400.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,-0.1428571428571428,0.5641543094699015,3.142857142857143,3.2
68350,500.0,3.2,0.0,0.0,1.0,3.0,2.0,0.0,3.1666666666666665,0.752772652709081,0.20000000000000018,0.49909143289677865,3.0,3.2
68510,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7142857142857142
